"HUB Windows Server 2022 - 20250424","04/24/2025 at 08:49:46 (GMT-0400)"
"GDIT - General Dynamics Information Technology","3150 Fairview Park Drive",,"Falls Church","Virginia","United States of America","22042"
"Bashir Abdul","gdtge3ba1","Reader"
SUMMARY
Policy Title,IPs,Asset Tags,Host Instance,Policy Locking,Policy Last Evaluated,Technologies,Controls,Assets,Control Instances,Passed,Failures,Error,Approved Exceptions,Pending Exceptions,Policy Id
"CHQ-CIS Benchmark for Microsoft Windows Server 2022, v3.0.0, [Automated and Manual, Level 1 - Member Server] v.6.0","N/A","Included(any): CHQ-Hub - Site;
Excluded(any);"," ()","Unlocked","04/22/2025 at 14:28:49 (GMT-0400)","Windows 2022 Server","337","2","674","226 (33.53%)","448 (66.47%)","0","0","0","6224106"
Host Statistics (Percentage of Controls Passed per Host)
IP Address,Tracking Method,DNS Name,Netbios Name,Operating System,Last Scan Date,Percentage,Qualys Host ID,Host ID
"10.212.0.97","AGENT","1431-ntt-mgmt-2","1431-NTT-MGMT-2","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","33.53% (113 of 337)","4f5a71d4-1908-402d-a5e8-d53732b8bc9c","483999542"
"10.212.0.98","AGENT","spg-gd-rw-mgmt","SPG-GD-RW-MGMT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 08:00:35 (GMT-0400)","33.53% (113 of 337)","b233036d-92c0-4076-a1db-2fd0e55f74cb","483042163"
ASSET TAGS
"10.212.0.97","Cloud Agent","Windows Server 2022","CHQ Enterprise","CHQ-SVR-Windows","CHQ-Hub - Site"
"10.212.0.98","Cloud Agent","Windows Server 2022","CHQ Enterprise","CHQ-SVR-Windows","CHQ-Hub - Site"
RESULTS
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1149","Windows 2022 Server","Status of the 'Microsoft network client: Digitally sign communications (always)' setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1388","Windows 2022 Server","Status of the 'Network Security: LDAP client signing requirements' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","3949","Windows 2022 Server","Status of the 'Windows Firewall: Inbound connections (Domain)' setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","3923","Windows 2022 Server","Status of the 'Registry policy processing (Option: Do not apply during periodic background processing)' setting","SERIOUS","3","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","3925","Windows 2022 Server","Current list of Groups and User accounts granted the 'Change the time zone privilege (SeTimeZonePrivilege)' setting","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","4232","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Modify an object label (SeRelabelPrivilege)' right","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","8188","Windows 2022 Server","Status of the 'Boot-Start Driver Initialization Policy' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","7501","Windows 2022 Server","Status of the 'Registry policy processing option: Process even if the Group Policy objects have not changed' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2385","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Generate Security Audits' right","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","23206","Windows 2022 Server","Status of the 'Allow Diagnostic Data' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2584","Windows 2022 Server","Status of the 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","14413","Windows 2022 Server","Status of the 'Configure detection for potentially unwanted applications' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1163","Windows 2022 Server","Status of the 'Prevent users from installing printer drivers' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2342","Windows 2022 Server","Status of the 'Account Lockout Threshold' setting (invalid login attempts)","URGENT","5","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1374","Windows 2022 Server","Status of the 'Domain member: Maximum machine account password age' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","27617","Windows 2022 Server","Status of the 'Configure security policy processing: Process even if the Group Policy objects have not changed' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","26138","Windows 2022 Server","Status of password (PasswordComplexity) setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2184","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Adjust memory quotas for a process' right","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1371","Windows 2022 Server","Status of the 'Domain member: Digitally encrypt secure channel data (when possible)' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","7504","Windows 2022 Server","Status of the 'System: Maximum log size' setting (in KB)","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","10098","Windows 2022 Server","Status of the 'Allow Input Personalization' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2341","Windows 2022 Server","Status of the 'Account Lockout Duration' setting (invalid login attempts)","URGENT","5","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","8176","Windows 2022 Server","Status of the 'Do not enumerate connected users on domain-joined computers' setting","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","4504","Windows 2022 Server","Status of the audit setting 'MPSSVC Rule-Level Policy Change' (advanced audit setting)","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","7503","Windows 2022 Server","Status of the 'Security: Maximum log size' setting (in KB)","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2582","Windows 2022 Server","Status of the 'User Account Control: Detect application installations and prompt for elevation' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","4471","Windows 2022 Server","Status of the audit setting 'Security System Extension' (advanced audit setting)","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","4119","Windows 2022 Server","Status of the 'Allow indexing of encrypted files' setting","MEDIUM","2","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","8253","Windows 2022 Server","Status of the 'Allow unencrypted traffic' setting (WinRM client)","SERIOUS","3","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","4111","Windows 2022 Server","Status of the 'Require a Password When a Computer Wakes (Plugged In)' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2196","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Deny Access to this computer from the network' right","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","10593","Windows 2022 Server","Status of the 'Hardened UNC Paths' setting for Sysvol","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","12013","Windows 2022 Server","Status of the 'Remote host allows delegation of non-exportable credentials' (AllowProtectedCreds) setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1156","Windows 2022 Server","Status of the 'Audit: Shut Down system immediately if unable to log security audits' setting","SERIOUS","3","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","4520","Windows 2022 Server","Status of the audit setting 'Detailed File Share' (advanced audit setting)","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1196","Windows 2022 Server","Status of the 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires' setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","8399","Windows 2022 Server","Status of the Configure 'Turn off app notifications on the lock screen'","SERIOUS","3","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","25358","Windows 2022 Server","Windows - Status of NetBIOS name resolution","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","25360","Windows 2022 Server","Status of the 'Use authentication for outgoing RPC over named pipes connections' setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","3944","Windows 2022 Server","Status of the 'Application: Control Event Log behavior when the log file reaches its maximum size' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1375","Windows 2022 Server","Status of the 'Domain member: Require strong (Windows 2000 or later) session key' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","13925","Windows 2022 Server","Status of 'Block Win32 API calls from Office macro' ASR rule (92E97FA1-2EDF-4476-BDD6-9DD0B4DDDC7B)","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","10006","Windows 2022 Server","Status of the 'Disallow Autoplay for non-volume devices' setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","10431","Windows 2022 Server","Status of the 'Require use of specific security layer for remote (RDP) connections' setting","MEDIUM","2","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1379","Windows 2022 Server","Status of the 'Microsoft network client: Digitally Sign Communications (if server agrees)' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","10081","Windows 2022 Server","Status of the 'Require domain users to elevate when setting a network's location' setting","CRITICAL","4","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","11034","Windows 2022 Server","Configure 'Prevent Device Metadata Retrieval from Internet' Windows Group Policy","MINIMAL","1","os","Failed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","2393","Windows 2022 Server","Current list of Groups and User Accounts granted the 'Modify firmware environment values (SeSystemEnvironmentPrivilege)' right","URGENT","5","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
"10.212.0.97","1431-ntt-mgmt-2","1431-NTT-MGMT-2","AGENT","Windows Server 2022 Standard 64 bit Edition Version 21H2","04/22/2025 at 09:03:28 (GMT-0400)","04/22/2025 at 14:28:48 (GMT-0400)","1383","Windows 2022 Server","Status of the 'Network Access: Let Everyone permissions apply to anonymous users' setting","CRITICAL","4","os","Passed",,"0","4f5a71d4-1908-402d-a5e8-d53732b8bc9c"
